"referrer","partgender","anchoring","anch_n","anch_m","anch_sd","study"
"abington",0,0,15,2766.4,842.05876958118,1
"abington",1,0,16,3037,1294.94710316677,1
"abington",0,1,9,4055.55555555556,1285.60405171179,1
"abington",1,1,28,4010.32142857143,1017.55586082248,1
"brasilia",0,0,20,2525.4030225,928.769725517351,1
"brasilia",1,0,23,2494.93563043478,834.362105240124,1
"brasilia",0,1,15,3562.52133333333,1213.92651486886,1
"brasilia",1,1,15,3987.12416666667,1199.9307372815,1
"charles ",0,0,9,2570.46960777778,862.660067655856,1
"charles ",1,0,26,2677.33993692308,996.169272882665,1
"charles ",0,1,9,3093.04177777778,1177.64688314757,1
"charles ",1,1,23,3907.03947956522,1106.73740393772,1
"conncoll",0,0,12,2454.16666666667,587.544324569077,1
"conncoll",1,0,21,2762.61904761905,612.040887211833,1
"conncoll",0,1,16,4356.25,1018.47516742759,1
"conncoll",1,1,33,4317.87878787879,1034.5221045722,1
"csun    ",0,0,6,2900,469.041575982343,1
"csun    ",1,0,31,2811.25806451613,797.363153054781,1
"csun    ",0,1,11,3661.81818181818,988.967321824318,1
"csun    ",1,1,38,4235.86842105263,1089.99340863498,1
"help    ",0,0,12,2354.9923,907.134423705118,1
"help    ",1,0,33,2283.6288969697,766.70448925962,1
"help    ",0,1,8,4372.891375,1043.42463182951,1
"help    ",1,1,20,4170.01407,1256.62974658796,1
"ithaca  ",0,0,9,2805.55555555556,561.496017597434,1
"ithaca  ",1,0,28,2796.53571428571,818.724684975578,1
"ithaca  ",0,1,6,3616.66666666667,825.631071766722,1
"ithaca  ",1,1,28,3843.92857142857,1036.42669350287,1
"jmu     ",0,0,11,2880,944.24573072903,1
"jmu     ",1,0,40,3071.25,863.645189195489,1
"jmu     ",0,1,14,3878,1171.91178455088,1
"jmu     ",1,1,83,4002.20481927711,1025.6288821396,1
"ku      ",0,0,15,2369.49093333333,608.302173629482,1
"ku      ",1,0,18,2854.263095,898.970507917706,1
"ku      ",0,1,16,3690.23875875,1461.98634550293,1
"ku      ",1,1,17,4166.83411764706,1093.25601441325,1
"laurier ",0,0,15,2292.19250533333,654.722136993922,1
"laurier ",1,0,15,2458.67824066667,941.518500143541,1
"laurier ",0,1,22,4118.86402136364,1140.34764734983,1
"laurier ",1,1,15,4261.35546,1072.75942350227,1
"lse     ",0,0,40,2736.4,920.69006450151,1
"lse     ",1,0,62,2634.53225806452,756.422960825271,1
"lse     ",0,1,45,4048.88888888889,1130.69210949075,1
"lse     ",1,1,86,4057.36046511628,1172.92663541488,1
"luc     ",0,0,10,2095,446.249805477704,1
"luc     ",1,0,52,2869.65384615385,1068.12219108254,1
"luc     ",0,1,9,3850,1092.01648339208,1
"luc     ",1,1,54,4173.37037037037,1194.60198307781,1
"mcdaniel",0,0,7,2278.85714285714,734.424134627811,1
"mcdaniel",1,0,31,3080.93548387097,743.738616069018,1
"mcdaniel",0,1,13,3993.84615384615,1011.01878041853,1
"mcdaniel",1,1,32,4096.8125,972.216039893298,1
"msvu    ",0,0,6,2245.320495,514.680399663213,1
"msvu    ",1,0,20,2824.810157,1259.18239670959,1
"msvu    ",0,1,5,3914.631,1021.01509667096,1
"msvu    ",1,1,14,4380.6585,984.208920015441,1
"mturk   ",0,0,224,2838.75,714.316148871154,1
"mturk   ",1,0,230,2990.36956521739,834.557617789383,1
"mturk   ",0,1,223,3827.95417040359,1037.39843761187,1
"mturk   ",1,1,249,4018.79835341365,1058.63713173647,1
"osu     ",0,0,16,2499.6875,700.672221869827,1
"osu     ",1,0,33,2813.63636363636,983.240236990108,1
"osu     ",0,1,16,4140.25,1346.15439926729,1
"osu     ",1,1,27,4558.37037037037,1120.56555597705,1
"oxy     ",0,0,20,3077.05,1061.15495544887,1
"oxy     ",1,0,41,2840.48780487805,648.833380844082,1
"oxy     ",0,1,13,3649.46153846154,1273.09286224432,1
"oxy     ",1,1,38,3878.57894736842,1011.2790838788,1
"pi      ",0,0,211,2860.08056872038,692.488905293046,1
"pi      ",1,0,364,3005.18406593407,846.091221119892,1
"pi      ",0,1,216,3681.85185185185,1006.60619596941,1
"pi      ",1,1,401,4001.02019950125,1021.50671418056,1
"psu     ",0,0,12,2554,693.30289851616,1
"psu     ",1,0,29,2608.06896551724,636.296984290157,1
"psu     ",0,1,4,4125,1108.67789130417,1
"psu     ",1,1,35,4188.2,1189.229973307,1
"qccuny  ",0,0,9,2811.11111111111,913.023061653489,1
"qccuny  ",1,0,34,3052.05882352941,1129.89347690931,1
"qccuny  ",0,1,8,4328.75,898.116083810996,1
"qccuny  ",1,1,38,4023.05263157895,1202.69182202951,1
"qccuny2 ",0,0,11,2618.18181818182,554.649766642305,1
"qccuny2 ",1,0,22,2772.72727272727,868.047518000307,1
"qccuny2 ",0,1,14,4177.35714285714,848.360918037098,1
"qccuny2 ",1,1,27,4283.2962962963,1027.16127918029,1
"sdsu    ",0,0,22,3054.27272727273,985.746861247285,1
"sdsu    ",1,0,44,3248.86363636364,855.589599263493,1
"sdsu    ",0,1,17,3705.88235294118,1104.80235123488,1
"sdsu    ",1,1,59,4278.30508474576,1093.46881219793,1
"swps    ",0,0,11,2950.54720090909,1328.32401072589,1
"swps    ",1,0,20,2368.476029,1037.02766498939,1
"swps    ",0,1,8,3386.4665,1300.00685383995,1
"swps    ",1,1,11,4714.78609545454,900.570046896359,1
"swpson  ",0,0,21,2807.23130380952,1209.50296367922,1
"swpson  ",1,0,39,2508.91680179487,871.440273731866,1
"swpson  ",0,1,20,2873.2459485,1146.52371814332,1
"swpson  ",1,1,30,4294.660892,1233.59447793673,1
"tamu    ",0,0,28,2729.71428571429,812.850396564932,1
"tamu    ",1,0,54,3072.37037037037,1134.71207047387,1
"tamu    ",0,1,23,4360.86956521739,1102.50146585546,1
"tamu    ",1,1,58,4194.22413793103,1050.00660053236,1
"tamuc   ",0,0,8,2939.875,725.5481548457,1
"tamuc   ",1,0,33,2811.81818181818,902.442707826425,1
"tamuc   ",0,1,8,4679.375,1159.82276201397,1
"tamuc   ",1,1,31,3996.45161290323,1142.86621668825,1
"tamuon  ",0,0,16,3245.5,1208.63173326976,1
"tamuon  ",1,0,69,2782.1884057971,868.828492439884,1
"tamuon  ",0,1,27,3871.25925925926,1103.63513314977,1
"tamuon  ",1,1,74,3924.43243243243,974.207371262094,1
"tilburg ",0,0,8,3043.85861625,785.511181207927,1
"tilburg ",1,0,24,2553.6753575,715.665255612887,1
"tilburg ",0,1,7,3595.06928571429,1160.49813981766,1
"tilburg ",1,1,18,3786.76686222222,1286.1231082869,1
"ufl     ",0,0,14,2742.57142857143,480.083600778306,1
"ufl     ",1,0,36,2927.91666666667,917.723406043455,1
"ufl     ",0,1,14,4692.85714285714,973.861691107415,1
"ufl     ",1,1,51,4042.80392156863,1081.57390907155,1
"unipd   ",0,0,17,2416.03276470588,643.081309491899,1
"unipd   ",1,0,35,2713.025694,1045.67219735474,1
"unipd   ",0,1,24,3668.02478125,1126.48870078936,1
"unipd   ",1,1,23,3780.09088695652,1085.31449432574,1
"uva     ",0,0,12,2833.83333333333,752.613607652853,1
"uva     ",1,0,28,3152.85714285714,1029.63804191303,1
"uva     ",0,1,9,4288.88888888889,1510.33476789456,1
"uva     ",1,1,28,3879.82142857143,1169.61557640143,1
"vcu     ",0,0,10,2840,732.120208708925,1
"vcu     ",1,0,29,2973.75862068966,824.732669032492,1
"vcu     ",0,1,13,4118.53846153846,1011.1962070888,1
"vcu     ",1,1,38,4211.71052631579,1131.52164728059,1
"wisc    ",0,0,6,2984.83333333333,1156.6244708922,1
"wisc    ",1,0,30,3061.56666666667,1055.59552348208,1
"wisc    ",0,1,10,4200,848.528137423857,1
"wisc    ",1,1,42,4261.52380952381,1077.98443895948,1
"wku     ",0,0,15,2943.33333333333,1032.13832590866,1
"wku     ",1,0,32,2766.875,973.727614757811,1
"wku     ",0,1,8,4626.625,1176.96788856548,1
"wku     ",1,1,29,4039.68965517241,1196.86074805982,1
"wl      ",0,0,7,2871.42857142857,590.802521192673,1
"wl      ",1,0,26,3035.5,917.804303759794,1
"wl      ",0,1,6,4641.16666666667,1028.64384831032,1
"wl      ",1,1,42,3752.14285714286,914.475821372312,1
"wpi     ",0,0,22,2821.59090909091,890.955113993693,1
"wpi     ",1,0,20,2829,761.148024887061,1
"wpi     ",0,1,17,3670,975.089739459912,1
"wpi     ",1,1,20,4025,818.776365585931,1
"abington",0,0,9,412853.333333333,173993.88954788,2
"abington",1,0,30,422321.766666667,246877.30431444,2
"abington",0,1,13,3090769.30769231,1436468.30009561,2
"abington",1,1,23,2937446.91304348,1295373.30897351,2
"brasilia",0,0,16,1248815.625,952401.300523883,2
"brasilia",1,0,14,722315.714285714,543749.962683844,2
"brasilia",0,1,14,3201642.85714286,1286266.84676971,2
"brasilia",1,1,14,3746571.35714286,1047904.02238561,2
"charles ",0,0,9,2461111.11111111,1058234.90355928,2
"charles ",1,0,18,1583333.33333333,932580.228373378,2
"charles ",0,1,8,3612185.375,791680.695769438,2
"charles ",1,1,30,3403698.06666667,1026317.63807786,2
"conncoll",0,0,9,1116722.22222222,1033191.87203754,2
"conncoll",1,0,30,674644.466666667,524153.374218597,2
"conncoll",0,1,16,2600624.9375,1411715.02863836,2
"conncoll",1,1,23,2888211.13043478,1208862.90527854,2
"csun    ",0,0,6,1183333.5,908111.377163341,2
"csun    ",1,0,37,503304.837837838,541363.79808106,2
"csun    ",0,1,9,3086111.11111111,1093954.34599032,2
"csun    ",1,1,33,2874395.60606061,1321076.84891185,2
"help    ",0,0,12,613766.666666667,432476.041024941,2
"help    ",1,0,33,545842.424242424,579003.298258256,2
"help    ",0,1,8,3125848.625,1192503.55969555,2
"help    ",1,1,28,3369642.75,1303935.57620952,2
"ithaca  ",0,0,10,842500,815649.877228105,2
"ithaca  ",1,0,35,501285.714285714,331847.198308514,2
"ithaca  ",0,1,5,2720000,1488959.36814945,2
"ithaca  ",1,1,30,3032528.53333333,1182912.58142518,2
"jmu     ",0,0,10,538598.1,403186.409758412,2
"jmu     ",1,0,69,732787.101449275,683094.626794986,2
"jmu     ",0,1,19,3080870.63157895,1041760.66231315,2
"jmu     ",1,1,56,2648443.67857143,1332027.23711785,2
"ku      ",0,0,13,1506083.76923077,1064674.18652751,2
"ku      ",1,0,21,1114136,1075901.83879874,2
"ku      ",0,1,18,3651897.33333333,711588.075676966,2
"ku      ",1,1,22,3139455.59090909,1139762.14945002,2
"laurier ",0,0,22,1631908.5,1181919.51776558,2
"laurier ",1,0,26,1039757.65384615,884956.310144131,2
"laurier ",0,1,23,3220014.2173913,1223025.93088268,2
"laurier ",1,1,27,3053070.14814815,1301182.74987985,2
"lse     ",0,0,26,1412769.30769231,1108144.04284482,2
"lse     ",1,0,63,893372.365079365,819519.878372624,2
"lse     ",0,1,46,3283419.73913043,1130433.85431868,2
"lse     ",1,1,88,3169431.79545455,1257979.8815554,2
"luc     ",0,0,7,939428.571428571,1358975.33177794,2
"luc     ",1,0,54,903794.574074074,729393.546437597,2
"luc     ",0,1,8,2837500,876580.205767195,2
"luc     ",1,1,53,2616618.69811321,1234353.83044796,2
"mcdaniel",0,0,9,1128888.88888889,1137051.49888258,2
"mcdaniel",1,0,36,646667.611111111,586385.604865958,2
"mcdaniel",0,1,12,2980707.58333333,1633003.72392758,2
"mcdaniel",1,1,27,2635991.62962963,1326690.96696031,2
"msvu    ",0,0,4,1175000,1257311.94750282,2
"msvu    ",1,0,35,550387.428571429,304876.101163801,2
"msvu    ",0,1,6,2775116.66666667,1408205.62478165,2
"msvu    ",1,1,29,2366369.72413793,1239346.24833161,2
"mturk   ",0,0,206,1470049.98058252,1101393.54575458,2
"mturk   ",1,0,227,1002222.21585903,939192.703789488,2
"mturk   ",0,1,214,3172672.80841121,1085304.5416586,2
"mturk   ",1,1,225,2985613.20444444,1165180.16253974,2
"osu     ",0,0,15,1338066.66666667,1061041.43359697,2
"osu     ",1,0,37,565844.594594595,442100.562621187,2
"osu     ",0,1,15,3354518.53333333,1178661.38964419,2
"osu     ",1,1,27,3245555.55555556,1232334.66150584,2
"oxy     ",0,0,13,1546153.84615385,1182945.04283123,2
"oxy     ",1,0,36,887500,691620.767266488,2
"oxy     ",0,1,15,2366666.66666667,1149326.92518377,2
"oxy     ",1,1,44,2811611.36363636,1331465.78228761,2
"pi      ",0,0,174,1764613.2183908,1131134.97980614,2
"pi      ",1,0,342,1147671.85380117,1029851.6282128,2
"pi      ",0,1,219,3020751.02283105,1129599.20753495,2
"pi      ",1,1,374,2876684.30748663,1248504.37299341,2
"psu     ",0,0,10,690664,582446.609917548,2
"psu     ",1,0,35,634333.2,596637.692058727,2
"psu     ",0,1,6,2875115,1464308.22552835,2
"psu     ",1,1,34,2877877.79411765,1307223.70962224,2
"qccuny  ",0,0,6,1366666.66666667,1434456.9239495,2
"qccuny  ",1,0,28,779700,955968.977103957,2
"qccuny  ",0,1,11,3455690.90909091,1045928.56874124,2
"qccuny  ",1,1,38,2922851.26315789,1204045.69393901,2
"qccuny2 ",0,0,12,705166.666666667,1059293.23207276,2
"qccuny2 ",1,0,25,507120.04,457990.994533051,2
"qccuny2 ",0,1,11,2277272.72727273,1060981.53526903,2
"qccuny2 ",1,1,20,2728750,1372600.17849336,2
"sdsu    ",0,0,21,1133548.9047619,760114.185057213,2
"sdsu    ",1,0,54,595442.092592593,601466.969466721,2
"sdsu    ",0,1,17,3026470.58823529,1211419.31828161,2
"sdsu    ",1,1,58,2919260.84482759,1375629.77015742,2
"swps    ",0,0,5,860000,861249.092887766,2
"swps    ",1,0,19,318631.578947368,210033.650882243,2
"swps    ",0,1,12,3364583.33333333,1376939.05974172,2
"swps    ",1,1,26,3242697,1158447.11119837,2
"swpson  ",0,0,23,1458031.91304348,1139880.83024123,2
"swpson  ",1,0,33,1163056.75757576,1141068.91171746,2
"swpson  ",0,1,22,3682818.13636364,760806.17137239,2
"swpson  ",1,1,48,3219824.3125,1227418.89327674,2
"tamu    ",0,0,30,1178544.03333333,1059226.42092456,2
"tamu    ",1,0,58,962789.672413793,827287.924088046,2
"tamu    ",0,1,19,3464263.15789474,1109709.06307841,2
"tamu    ",1,1,54,3325018.5,1214878.65013629,2
"tamuc   ",0,0,4,1212500,1858931.14450213,2
"tamuc   ",1,0,31,718958.806451613,800463.131175256,2
"tamuc   ",0,1,7,3307142.85714286,1150879.58080931,2
"tamuc   ",1,1,30,3362608.5,1214927.42287347,2
"tamuon  ",0,0,23,1641521.73913043,1186215.75032711,2
"tamuon  ",1,0,72,1010359.44444444,1127153.3672536,2
"tamuon  ",0,1,20,3217229.45,1111835.90679889,2
"tamuon  ",1,1,83,2929164.04819277,1187835.54860053,2
"tilburg ",0,0,7,1228571.42857143,660086.574408453,2
"tilburg ",1,0,14,1026928.57142857,826948.837063623,2
"tilburg ",0,1,4,3375000,478713.553878169,2
"tilburg ",1,1,18,2474916.66666667,1294868.99462274,2
"ufl     ",0,0,15,956473.4,604931.571441384,2
"ufl     ",1,0,51,532785.941176471,465006.13322929,2
"ufl     ",0,1,13,2419230.76923077,1004891.88090445,2
"ufl     ",1,1,39,3049194.74358974,1203567.30109364,2
"unipd   ",0,0,16,1286875,982627.218226729,2
"unipd   ",1,0,24,1109375,1272553.33235808,2
"unipd   ",0,1,18,2725000,1010860.14625868,2
"unipd   ",1,1,19,2674473.68421053,1357255.08813524,2
"uva     ",0,0,7,566714.285714286,328707.93230755,2
"uva     ",1,0,26,814230.769230769,758114.361172102,2
"uva     ",0,1,14,3185714.28571429,1055284.97270944,2
"uva     ",1,1,28,2781762.25,1274250.74189512,2
"vcu     ",0,0,11,718181.818181818,484392.778266113,2
"vcu     ",1,0,39,613246.153846154,651819.372621197,2
"vcu     ",0,1,12,3477894,1323965.92688757,2
"vcu     ",1,1,37,2689795.10810811,1474020.22468429,2
"wisc    ",0,0,8,1232581.25,825895.022703725,2
"wisc    ",1,0,42,899208.666666667,842685.669646659,2
"wisc    ",0,1,6,3133333.33333333,1321615.17343993,2
"wisc    ",1,1,32,2975045.59375,1148732.18185008,2
"wku     ",0,0,13,683915,533786.559801762,2
"wku     ",1,0,35,533285.714285714,414395.276732435,2
"wku     ",0,1,10,3200076.5,1058429.05219127,2
"wku     ",1,1,28,2882182.71428571,1367474.57312077,2
"wl      ",0,0,3,1066666.66666667,404145.188432738,2
"wl      ",1,0,28,1292857.14285714,1122721.08980933,2
"wl      ",0,1,8,2593750,1281304.44135208,2
"wl      ",1,1,34,2792902.94117647,963007.441516071,2
"wpi     ",0,0,24,1266264.20833333,1180493.11415291,2
"wpi     ",1,0,18,767160.555555556,610147.290226107,2
